epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1727.27,1.02707,0.59733,1.05246,0.94718,0.92537,0.94913,0.57498,1.34657,0.69484,1.20746,0.0007922,0.0007922,0.0007922
63,1755.82,0.98139,0.58192,1.05008,0.9538,0.92442,0.95664,0.57981,1.37052,0.6908,1.22461,0.0007724,0.0007724,0.0007724
64,1783.39,1.00348,0.60862,1.04297,0.9523,0.95522,0.96495,0.56752,1.42094,0.67893,1.22451,0.0007526,0.0007526,0.0007526
65,1810.99,0.96438,0.55816,1.03242,0.94838,0.95522,0.96722,0.56757,1.44645,0.65686,1.24717,0.0007328,0.0007328,0.0007328
66,1836.45,1.01982,0.58873,1.03708,0.95384,0.92519,0.96064,0.55422,1.41927,0.64973,1.25204,0.000713,0.000713,0.000713
67,1863.32,0.9358,0.56694,1.02564,0.93491,0.9403,0.96872,0.57348,1.34079,0.61785,1.20088,0.0006932,0.0006932,0.0006932
68,1891.81,0.9427,0.56956,1.00589,0.97789,0.92537,0.97584,0.5978,1.34654,0.63518,1.22582,0.0006734,0.0006734,0.0006734
69,1918.35,0.98529,0.56943,1.03088,0.97884,0.92537,0.97864,0.5797,1.41545,0.64432,1.25081,0.0006536,0.0006536,0.0006536
70,1945.58,1.01756,0.57394,1.04041,0.96715,0.95522,0.97696,0.57803,1.39726,0.6588,1.25035,0.0006338,0.0006338,0.0006338
71,1973.62,0.98224,0.59634,1.02786,0.92317,0.92537,0.91022,0.54789,1.44505,0.68234,1.25573,0.000614,0.000614,0.000614
72,2000.31,0.9907,0.57047,1.04239,0.92635,0.93868,0.96045,0.56849,1.38074,0.66222,1.22201,0.0005942,0.0005942,0.0005942
73,2027.98,0.96133,0.56162,1.01953,0.96852,0.95522,0.96894,0.58081,1.37018,0.63534,1.20513,0.0005744,0.0005744,0.0005744
74,2055.96,0.93888,0.54073,1.02658,0.97883,0.9403,0.97795,0.58474,1.37647,0.63769,1.23183,0.0005546,0.0005546,0.0005546
75,2082.13,0.98572,0.54761,1.06731,0.93623,0.9403,0.96055,0.579,1.4212,0.62594,1.23845,0.0005348,0.0005348,0.0005348
76,2109.02,0.93454,0.54814,1.02609,0.95381,0.92455,0.96317,0.57272,1.46283,0.68055,1.27372,0.000515,0.000515,0.000515
77,2137.32,0.93336,0.51822,1.0158,0.96916,0.93801,0.9646,0.5701,1.41719,0.6508,1.25192,0.0004952,0.0004952,0.0004952
78,2163.74,0.93885,0.53192,1.00071,0.93836,0.9088,0.93766,0.55361,1.41457,0.68282,1.2517,0.0004754,0.0004754,0.0004754
79,2191.27,0.96157,0.547,1.02027,0.93846,0.91037,0.94281,0.54309,1.45961,0.66402,1.26115,0.0004556,0.0004556,0.0004556
80,2219.16,0.89331,0.53146,0.98438,0.94865,0.89552,0.95761,0.56535,1.41789,0.61101,1.24697,0.0004358,0.0004358,0.0004358
81,2246.44,0.91756,0.55005,1.01711,0.96579,0.91045,0.97177,0.57356,1.43291,0.61201,1.23975,0.000416,0.000416,0.000416
82,2273.58,0.92512,0.56206,1.03605,0.95521,0.95484,0.97322,0.5833,1.41398,0.62894,1.23147,0.0003962,0.0003962,0.0003962
83,2301.76,0.90231,0.52646,0.99696,0.93926,0.92324,0.95448,0.58176,1.42417,0.65282,1.23383,0.0003764,0.0003764,0.0003764
84,2328.79,0.91865,0.53921,1.01182,0.98088,0.9403,0.97789,0.57583,1.4435,0.67953,1.25627,0.0003566,0.0003566,0.0003566
85,2356.25,0.87384,0.5125,1.00019,0.97958,0.9403,0.97739,0.57604,1.45084,0.6701,1.25915,0.0003368,0.0003368,0.0003368
86,2383.36,0.86529,0.51041,0.96892,0.92237,0.9403,0.95051,0.58318,1.43465,0.65445,1.25638,0.000317,0.000317,0.000317
87,2407.8,0.86194,0.50662,1.00225,0.96962,0.95273,0.9644,0.56989,1.41606,0.63414,1.24554,0.0002972,0.0002972,0.0002972
88,2437.11,0.88123,0.51682,1.0045,0.96729,0.95522,0.97697,0.56567,1.42534,0.63071,1.25203,0.0002774,0.0002774,0.0002774
